movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,10083,4.0,1198879804,1,1995,Adventure,Animation,Children,10759,3.91,0.89,592,593,296,150,356,33,1991,7.74,3.71,0.92,Drama,Thriller,Comedy,Crime,Adventure
1,10385,5.0,851896003,1,1995,Adventure,Animation,Children,10759,3.91,0.89,141,,,,,4,1996,0.00,3.25,0.50,Comedy,,,,
1,10455,3.0,1103707871,0,1995,Adventure,Animation,Children,10759,3.91,0.89,364,,,,,5,1983,25.72,2.50,1.12,Adventure,Animation,Children,Drama,Musical
1,10513,4.5,1132505290,1,1995,Adventure,Animation,Children,10759,3.91,0.89,150,480,356,593,296,6,1993,1.51,4.08,0.38,Comedy,Drama,Thriller,Romance,Crime
1,10789,5.0,1341360035,1,1995,Adventure,Animation,Children,10759,3.91,0.89,858,318,107,610,,7,1990,9.61,3.00,1.71,Adventure,Crime,Drama,Action,Animation
1,10893,4.5,1134442485,1,1995,Adventure,Animation,Children,10759,3.91,0.89,318,150,356,543,48,9,1989,13.42,4.17,0.90,Drama,Romance,Comedy,Animation,Children
1,11228,4.0,901542635,1,1995,Adventure,Animation,Children,10759,3.91,0.89,778,17,551,588,913,44,1982,19.18,4.20,0.98,Drama,Thriller,Comedy,Mystery,Romance
1,11323,4.0,1204050110,1,1995,Adventure,Animation,Children,10759,3.91,0.89,592,480,260,181,546,7,1990,6.37,3.86,1.03,Action,Adventure,Sci-Fi,Children,Thriller
1,11521,4.5,1248116188,1,1995,Adventure,Animation,Children,10759,3.91,0.89,110,356,551,527,318,8,1994,0.83,3.94,0.62,Drama,War,Crime,Mystery,Thriller
1,11563,0.5,1217545076,0,1995,Adventure,Animation,Children,10759,3.91,0.89,590,110,480,593,356,24,1993,4.88,3.83,0.93,Drama,Thriller,Crime,Action,War
1,11579,5.0,943542355,1,1995,Adventure,Animation,Children,10759,3.91,0.89,527,318,837,474,736,19,1988,15.44,3.37,1.40,Comedy,Romance,Thriller,Drama,Crime
1,11984,4.0,868400811,1,1995,Adventure,Animation,Children,10759,3.91,0.89,32,,,,,3,1995,0.58,3.67,1.15,Mystery,Sci-Fi,Thriller,,
1,12,4.0,859063718,1,1995,Adventure,Animation,Children,10759,3.91,0.89,,,,,,4,1995,0.50,3.00,0.00,,,,,
1,12120,4.0,1127446531,1,1995,Adventure,Animation,Children,10759,3.91,0.89,380,260,110,318,593,17,1989,11.95,3.00,0.85,Drama,Action,Romance,Crime,Thriller
1,12397,5.0,834312110,1,1995,Adventure,Animation,Children,10759,3.91,0.89,161,292,434,231,165,16,1993,1.85,3.44,0.96,Thriller,Drama,Action,Crime,Comedy
1,1247,1.0,866040507,0,1995,Adventure,Animation,Children,10759,3.91,0.89,780,736,,,,5,1995,0.45,3.00,1.58,Action,Adventure,Thriller,Romance,Sci-Fi
1,1252,5.0,1258153982,1,1995,Adventure,Animation,Children,10759,3.91,0.89,593,736,588,296,267,8,1987,19.29,3.56,0.86,Comedy,Thriller,Drama,Romance,Crime
1,12770,5.0,994890920,1,1995,Adventure,Animation,Children,10759,3.91,0.89,21,377,474,592,390,28,1986,11.94,3.82,0.94,Action,Sci-Fi,Thriller,Comedy,Crime
1,13129,3.5,1096669242,1,1995,Adventure,Animation,Children,10759,3.91,0.89,780,589,260,590,150,13,1990,8.51,3.65,1.14,Adventure,Thriller,Action,Sci-Fi,Drama
1,13190,4.0,1337201608,1,1995,Adventure,Animation,Children,10759,3.91,0.89,364,590,150,527,50,10,1992,7.24,3.95,1.17,Drama,Crime,Adventure,Children,IMAX
1,1323,4.0,1070660982,1,1995,Adventure,Animation,Children,10759,3.91,0.89,778,914,529,515,293,100,1991,11.64,3.65,0.53,Drama,Thriller,Comedy,Romance,Action
1,1348,4.0,848397812,1,1995,Adventure,Animation,Children,10759,3.91,0.89,47,318,527,110,356,16,1993,1.89,3.88,0.81,Drama,Comedy,Thriller,Adventure,War
1,13604,3.0,1095495732,0,1995,Adventure,Animation,Children,10759,3.91,0.89,380,208,541,728,919,51,1991,12.97,3.11,1.04,Drama,Comedy,Crime,Action,Thriller
1,13746,5.0,1299703123,1,1995,Adventure,Animation,Children,10759,3.91,0.89,260,593,608,150,480,12,1992,5.07,4.46,0.72,Thriller,Drama,Crime,Comedy,Action
1,13930,4.0,1145565239,1,1995,Adventure,Animation,Children,10759,3.91,0.89,260,318,592,457,480,22,1989,10.81,3.34,1.49,Thriller,Action,Drama,Sci-Fi,Crime
1,14038,5.0,1017170954,1,1995,Adventure,Animation,Children,10759,3.91,0.89,316,733,368,180,10,25,1992,6.26,3.88,0.83,Action,Thriller,Adventure,Sci-Fi,Crime
1,14172,4.0,848226691,1,1995,Adventure,Animation,Children,10759,3.91,0.89,428,58,347,162,475,75,1993,1.35,3.29,0.88,Drama,Thriller,Romance,Comedy,Action
1,14307,4.0,1226784878,1,1995,Adventure,Animation,Children,10759,3.91,0.89,592,50,780,356,589,11,1993,1.89,3.59,0.94,Thriller,Crime,Action,Drama,Sci-Fi
1,14348,3.0,979094751,0,1995,Adventure,Animation,Children,10759,3.91,0.89,377,39,595,457,858,63,1987,15.74,3.67,0.58,Drama,Thriller,Romance,Action,Crime
1,14351,4.0,854090202,1,1995,Adventure,Animation,Children,10759,3.91,0.89,648,,,,,5,1995,0.45,3.20,0.45,Action,Adventure,Mystery,Thriller,
1,14613,5.0,1013451593,1,1995,Adventure,Animation,Children,10759,3.91,0.89,253,292,507,527,260,13,1985,16.72,4.62,0.51,Drama,Thriller,Action,Crime,Sci-Fi
1,14735,4.0,1069851571,1,1995,Adventure,Animation,Children,10759,3.91,0.89,508,457,337,608,431,33,1993,4.74,3.61,0.90,Drama,Thriller,Crime,Comedy,Romance
1,15108,5.0,946264136,1,1995,Adventure,Animation,Children,10759,3.91,0.89,125,608,720,905,908,58,1984,19.68,3.33,1.39,Drama,Comedy,Romance,Thriller,Crime
1,15112,3.0,885035118,0,1995,Adventure,Animation,Children,10759,3.91,0.89,745,497,34,904,,10,1970,25.09,2.90,1.10,Children,Comedy,Mystery,Thriller,Drama
1,15242,3.0,1206826173,0,1995,Adventure,Animation,Children,10759,3.91,0.89,589,232,32,741,318,14,1987,14.49,2.86,1.41,Sci-Fi,Drama,Crime,Animation,Mystery
1,15357,5.0,829732826,1,1995,Adventure,Animation,Children,10759,3.91,0.89,262,339,315,235,318,46,1994,1.17,3.83,1.06,Comedy,Drama,Action,Thriller,Adventure
1,15389,5.0,851596490,1,1995,Adventure,Animation,Children,10759,3.91,0.89,648,141,17,780,,4,1995,0.50,4.50,0.58,Action,Adventure,Thriller,Sci-Fi,Drama
1,15446,4.0,1111641530,1,1995,Adventure,Animation,Children,10759,3.91,0.89,593,45,903,345,953,8,1983,19.83,3.00,1.34,Drama,Thriller,Romance,Comedy,Fantasy
1,1562,5.0,1155096956,1,1995,Adventure,Animation,Children,10759,3.91,0.89,589,318,356,593,296,8,1993,1.83,4.69,0.59,Action,Drama,Thriller,Crime,Adventure
1,15909,4.0,955118070,1,1995,Adventure,Animation,Children,10759,3.91,0.89,930,648,906,903,904,10,1966,17.28,3.80,0.63,Thriller,Drama,Mystery,Adventure,Romance
1,16177,3.0,864553774,0,1995,Adventure,Animation,Children,10759,3.91,0.89,648,780,,,,6,1995,0.52,3.00,1.41,Action,Adventure,Thriller,Sci-Fi,Mystery
1,1621,5.0,971107728,1,1995,Adventure,Animation,Children,10759,3.91,0.89,318,920,,,,4,1975,25.28,3.75,0.96,Drama,Romance,War,Crime,
1,16362,2.0,831470072,0,1995,Adventure,Animation,Children,10759,3.91,0.89,,,,,,8,1993,2.20,2.25,0.71,,,,,
1,16566,5.0,861600983,1,1995,Adventure,Animation,Children,10759,3.91,0.89,,,,,,2,1995,0.71,3.00,0.00,,,,,
1,16948,4.0,974954052,1,1995,Adventure,Animation,Children,10759,3.91,0.89,594,919,356,912,527,89,1988,15.31,3.16,1.41,Sci-Fi,Adventure,Drama,Action,Animation
1,16954,5.0,831983819,1,1995,Adventure,Animation,Children,10759,3.91,0.89,165,316,588,318,590,11,1993,1.63,3.82,0.87,Crime,Drama,Adventure,Comedy,Thriller
1,17126,5.0,831825356,1,1995,Adventure,Animation,Children,10759,3.91,0.89,316,595,588,318,349,13,1993,1.76,3.31,1.18,Crime,Drama,Comedy,Thriller,Action
1,17514,5.0,1000695376,1,1995,Adventure,Animation,Children,10759,3.91,0.89,34,353,587,454,377,22,1983,18.33,4.27,0.70,Thriller,Drama,Comedy,Crime,Romance
1,17622,2.0,964731786,0,1995,Adventure,Animation,Children,10759,3.91,0.89,357,296,508,88,,5,1990,7.79,4.20,0.84,Comedy,Drama,Crime,Thriller,Romance
1,18061,3.5,1146435486,1,1995,Adventure,Animation,Children,10759,3.91,0.89,315,110,260,527,36,22,1985,19.21,3.57,0.82,Drama,Action,Thriller,Adventure,Romance
1,18158,5.0,1008896118,1,1995,Adventure,Animation,Children,10759,3.91,0.89,29,36,263,994,800,28,1992,5.27,3.79,0.79,Drama,Crime,Thriller,Comedy,Mystery
1,18166,4.0,1105391118,1,1995,Adventure,Animation,Children,10759,3.91,0.89,153,552,316,10,380,20,1988,14.30,3.42,1.21,Action,Thriller,Adventure,Comedy,Crime
1,18233,4.0,949605990,1,1995,Adventure,Animation,Children,10759,3.91,0.89,34,260,608,923,745,17,1973,23.64,3.76,1.09,Drama,Comedy,Romance,Crime,Thriller
1,18389,2.5,1424261496,0,1995,Adventure,Animation,Children,10759,3.91,0.89,260,,,,,4,1990,8.72,3.12,0.63,Action,Adventure,Sci-Fi,,
1,18516,5.0,1361452232,1,1995,Adventure,Animation,Children,10759,3.91,0.89,741,50,593,527,47,12,1994,1.44,3.88,1.51,Drama,Thriller,Crime,Mystery,Comedy
1,18539,3.0,883092454,0,1995,Adventure,Animation,Children,10759,3.91,0.89,994,778,714,800,97,13,1992,7.88,4.15,0.80,Drama,Crime,Comedy,Thriller,Mystery
1,18916,3.0,832634585,0,1995,Adventure,Animation,Children,10759,3.91,0.89,318,344,590,150,296,15,1993,1.87,3.20,0.68,Drama,Comedy,Crime,Adventure,Thriller
1,19086,5.0,848757166,1,1995,Adventure,Animation,Children,10759,3.91,0.89,350,225,32,527,300,29,1993,1.70,3.41,1.66,Drama,Thriller,Adventure,Action,Crime
1,19219,3.0,993747245,0,1995,Adventure,Animation,Children,10759,3.91,0.89,260,110,,,,5,1990,7.73,3.80,1.10,Action,Drama,War,Adventure,Sci-Fi
1,19314,5.0,851047697,1,1995,Adventure,Animation,Children,10759,3.91,0.89,780,141,,,,4,1995,0.50,3.75,0.96,Comedy,Action,Adventure,Sci-Fi,Thriller
1,19416,0.5,1175972370,0,1995,Adventure,Animation,Children,10759,3.91,0.89,70,750,858,111,223,14,1987,11.69,3.96,1.73,Comedy,Crime,Drama,Thriller,Mystery
1,19759,5.0,851330409,1,1995,Adventure,Animation,Children,10759,3.91,0.89,32,648,25,17,,8,1995,0.52,3.62,0.74,Drama,Romance,Mystery,Thriller,Action
1,19866,3.5,1107677730,1,1995,Adventure,Animation,Children,10759,3.91,0.89,318,110,150,590,592,62,1991,10.29,3.56,0.87,Drama,Comedy,Romance,Thriller,Crime
1,19971,3.5,1253315446,1,1995,Adventure,Animation,Children,10759,3.91,0.89,837,441,252,543,353,100,1992,9.56,3.21,0.78,Drama,Thriller,Action,Comedy,Adventure
1,20073,3.5,1177852684,1,1995,Adventure,Animation,Children,10759,3.91,0.89,377,356,589,165,260,24,1993,3.81,3.50,0.82,Thriller,Action,Crime,Drama,Mystery
1,20127,3.0,1141154432,0,1995,Adventure,Animation,Children,10759,3.91,0.89,380,32,588,590,780,19,1990,9.82,4.21,1.06,Comedy,Thriller,Drama,Action,Adventure
1,20165,5.0,1281894144,1,1995,Adventure,Animation,Children,10759,3.91,0.89,260,110,593,216,595,22,1990,8.70,3.59,1.05,Comedy,Drama,Adventure,Children,Romance
1,20623,5.0,859554279,1,1995,Adventure,Animation,Children,10759,3.91,0.89,736,,,,,2,1996,0.00,3.50,0.71,Action,Adventure,Romance,Thriller,
1,20668,5.0,942327448,1,1995,Adventure,Animation,Children,10759,3.91,0.89,541,720,909,50,80,27,1981,20.72,3.74,1.16,Drama,Romance,Comedy,Thriller,Children
1,20725,5.0,995371797,1,1995,Adventure,Animation,Children,10759,3.91,0.89,951,608,593,541,457,12,1983,18.97,4.50,0.52,Thriller,Sci-Fi,Action,Comedy,Adventure
